time	dest	src	seqn	hops
12:13.536	1	5	23	0
12:14.912	1	7	23	0
12:15.037	1	8	23	3
12:30.910	1	8	24	3
12:31.535	1	9	24	2
12:32.787	1	6	24	0
12:36.286	1	3	24	2
12:37.037	1	7	24	0
12:38.786	1	2	24	0
12:39.162	1	5	24	0
12:41.412	1	10	24	1
12:43.036	1	4	24	1
13:01.410	1	4	25	1
13:01.786	1	2	25	0
13:04.037	1	7	25	0
13:05.286	1	3	25	2
13:07.787	1	6	25	0
13:10.287	1	10	25	1
13:14.160	1	9	25	2
13:14.536	1	5	25	0
13:31.412	1	6	26	0
13:40.411	1	4	26	1
13:41.661	1	7	26	0
13:41.912	1	8	26	3
13:42.412	1	10	26	1
13:42.786	1	2	26	0
13:42.912	1	3	26	2
13:45.663	1	5	26	0
13:46.162	1	9	26	2
14:01.662	1	9	27	2
14:01.912	1	6	27	0
14:05.162	1	8	27	3
14:07.036	1	2	27	0
14:08.159	1	10	27	1
14:09.035	1	3	27	2
14:14.662	1	5	27	0
14:14.788	1	4	27	1
14:15.287	1	7	27	0
14:32.287	1	9	28	2
14:33.035	1	10	28	1
14:37.035	1	8	28	3
14:38.412	1	7	28	0
14:39.286	1	2	28	0
14:40.412	1	5	28	0
14:40.786	1	6	28	0
14:42.912	1	3	28	2
14:45.661	1	4	28	1
15:01.911	1	3	29	2
15:02.536	1	9	29	2
15:02.660	1	7	29	0
