time	dest	src	seqn	hops
11:34.142	1	2	22	0
11:34.862	1	8	22	3
11:36.050	1	5	22	0
11:40.207	1	4	22	0
11:41.135	1	7	22	0
11:41.283	1	10	22	1
11:45.298	1	3	22	2
11:45.966	1	9	22	2
12:01.349	1	9	23	2
12:02.039	1	6	23	0
12:03.868	1	3	23	2
12:06.777	1	8	23	3
12:08.558	1	5	23	0
12:09.243	1	2	23	0
12:10.134	1	10	23	1
12:13.675	1	7	23	0
12:14.246	1	4	23	0
12:32.271	1	9	24	2
12:33.230	1	5	24	0
12:33.915	1	3	24	2
12:36.034	1	7	24	0
12:40.024	1	6	24	0
12:40.606	1	4	24	0
12:40.978	1	2	24	0
13:01.560	1	9	25	2
13:01.676	1	4	25	0
13:06.360	1	2	25	0
13:08.501	1	10	25	1
13:09.144	1	5	25	0
13:10.831	1	8	25	3
13:12.142	1	3	25	2
13:12.604	1	7	25	0
13:13.781	1	6	25	0
13:32.754	1	5	26	0
13:32.923	1	10	26	1
13:34.953	1	6	26	0
13:35.651	1	7	26	0
13:37.282	1	2	26	0
13:42.128	1	8	26	3
13:42.626	1	3	26	2
13:44.722	1	4	26	0
13:45.420	1	9	26	2
14:01.634	1	3	27	2
14:02.730	1	8	27	3
14:03.571	1	2	27	0
14:08.117	1	6	27	0
14:10.963	1	10	27	1
14:11.199	1	5	27	0
14:13.449	1	4	27	0
14:14.878	1	7	27	0
14:15.740	1	9	27	2
14:32.322	1	10	28	1
14:32.934	1	4	28	0
14:36.464	1	8	28	3
14:38.362	1	7	28	0
14:38.496	1	5	28	0
14:39.431	1	2	28	0
14:42.286	1	9	28	2
14:43.227	1	6	28	0
14:43.306	1	3	28	2
