time	dest	src	seqn
13:13.939	1	5	25
13:15.053	1	2	25
13:32.701	1	6	26
13:36.006	1	3	26
13:37.100	1	2	26
13:37.960	1	10	26
13:39.351	1	8	26
13:41.423	1	5	26
13:43.439	1	4	26
13:44.438	1	7	26
13:45.393	1	9	26
14:00.634	1	4	27
14:02.727	1	7	27
14:02.905	1	10	27
14:03.275	1	5	27
14:03.889	1	3	27
14:04.827	1	2	27
14:07.709	1	6	27
14:10.796	1	8	27
14:15.713	1	9	27
14:31.380	1	6	28
14:32.924	1	4	28
14:33.821	1	7	28
14:34.336	1	8	28
14:40.944	1	10	28
14:42.115	1	3	28
14:43.312	1	2	28
14:43.509	1	5	28
14:44.628	1	9	28
15:01.795	1	6	29
15:03.819	1	2	29
15:08.119	1	5	29
15:08.810	1	3	29
15:12.094	1	8	29
15:12.333	1	9	29
15:14.203	1	10	29
15:14.453	1	7	29
15:15.431	1	4	29
15:31.374	1	10	30
