time	dest	src	seqn	hops
11:32.544	1	10	22	2
11:34.419	1	6	22	1
11:35.668	1	7	22	1
11:36.044	1	8	22	4
11:37.042	1	3	22	3
11:40.293	1	5	22	1
11:41.291	1	9	22	3
11:42.544	1	4	22	2
12:07.668	1	3	23	3
12:09.416	1	6	23	1
12:09.918	1	7	23	1
12:11.542	1	4	23	2
12:12.668	1	8	23	4
12:13.917	1	2	23	1
12:14.294	1	5	23	1
12:16.418	1	10	23	2
12:16.919	1	9	23	3
12:34.044	1	3	24	3
12:38.044	1	7	24	1
12:42.793	1	4	24	2
12:43.543	1	10	24	2
12:44.044	1	5	24	1
12:44.792	1	6	24	1
12:45.420	1	2	24	1
12:46.544	1	9	24	3
12:49.044	1	8	24	4
13:02.294	1	4	25	2
13:07.294	1	8	25	4
13:10.419	1	7	25	1
13:11.293	1	9	25	3
13:12.292	1	5	25	1
13:12.543	1	10	25	2
13:13.418	1	6	25	1
13:13.670	1	2	25	1
13:16.669	1	3	25	3
13:31.293	1	10	26	2
13:32.168	1	3	26	3
13:33.793	1	9	26	3
13:35.293	1	6	26	1
13:37.169	1	8	26	4
13:37.668	1	2	26	1
13:41.541	1	4	26	2
13:44.416	1	5	26	1
13:45.419	1	7	26	1
14:01.169	1	10	27	2
14:03.668	1	2	27	1
14:04.169	1	3	27	3
14:06.043	1	6	27	1
14:08.542	1	9	27	3
14:11.792	1	7	27	1
14:16.292	1	5	27	1
14:18.919	1	8	27	4
14:19.543	1	4	27	2
14:31.292	1	2	28	1
14:32.294	1	8	28	4
14:35.916	1	4	28	2
14:36.918	1	10	28	2
14:38.293	1	6	28	1
14:38.669	1	5	28	1
14:39.794	1	7	28	1
14:40.043	1	3	28	3
14:43.542	1	9	28	3
