time	dest	src	seqn
13:10.013	1	6	25
13:10.595	1	4	25
13:32.329	1	4	26
13:33.372	1	6	26
13:34.335	1	8	26
13:37.271	1	2	26
13:37.959	1	10	26
13:38.809	1	3	26
13:39.766	1	5	26
13:42.593	1	7	26
13:44.040	1	9	26
14:01.606	1	3	27
14:03.561	1	2	27
14:04.942	1	6	27
14:05.640	1	7	27
14:10.943	1	10	27
14:11.188	1	5	27
14:12.092	1	8	27
14:14.712	1	4	27
14:15.712	1	9	27
14:30.633	1	4	28
14:33.458	1	3	28
14:39.420	1	2	28
14:44.201	1	10	28
14:44.264	1	8	28
14:44.627	1	9	28
14:44.867	1	7	28
14:44.989	1	6	28
14:45.727	1	5	28
