time	dest	src	seqn	hops
12:08.558	1	5	23	0
12:09.243	1	2	23	0
12:10.134	1	10	23	1
12:10.207	1	4	23	0
12:11.135	1	7	23	0
12:15.966	1	9	23	2
12:32.076	1	9	24	2
12:33.484	1	6	24	0
12:36.032	1	3	24	2
12:38.409	1	8	24	3
12:38.910	1	5	24	0
12:40.978	1	2	24	0
12:41.954	1	10	24	1
12:43.675	1	7	24	0
12:45.504	1	4	24	0
13:02.271	1	9	25	2
13:03.915	1	3	25	2
13:06.034	1	7	25	0
13:06.360	1	2	25	0
13:09.144	1	5	25	0
13:10.024	1	6	25	0
13:10.606	1	4	25	0
13:32.340	1	4	26	0
13:33.383	1	6	26	0
13:34.370	1	8	26	3
13:37.282	1	2	26	0
13:37.978	1	10	26	1
13:38.837	1	3	26	2
13:39.777	1	5	26	0
13:42.604	1	7	26	0
13:44.068	1	9	26	2
14:01.634	1	3	27	2
14:03.571	1	2	27	0
14:04.953	1	6	27	0
14:05.651	1	7	27	0
14:10.963	1	10	27	1
14:11.199	1	5	27	0
14:12.128	1	8	27	3
14:14.722	1	4	27	0
14:15.740	1	9	27	2
14:30.644	1	4	28	0
14:33.485	1	3	28	2
14:39.431	1	2	28	0
14:44.220	1	10	28	1
14:44.300	1	8	28	3
14:44.654	1	9	28	2
14:44.878	1	7	28	0
14:45.000	1	6	28	0
14:45.738	1	5	28	0
